名称,住所,緯度,経度,市区町村名,都道府県,_自治体名,_データセット名,_取得元URL,_ライセンス
府中市立白糸台文化センター(複合施設）,東京都府中市白糸台1-60,35.667081,139.506149,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立西府文化センター(複合施設）,東京都府中市西府町1-10,35.670886,139.456270,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立中央文化センター(複合施設）,東京都府中市府中町2-25,35.675781,139.482217,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立紅葉丘文化センター(複合施設）,東京都府中市紅葉丘2-1,35.676533,139.509245,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立是政文化センター(複合施設）,東京都府中市是政2-20,35.660891,139.495318,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立新町文化センター(複合施設）,東京都府中市新町1-66,35.687183,139.489386,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立住吉文化センター(複合施設）,東京都府中市住吉町1-61,35.660297,139.460272,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立四谷文化センター(複合施設）,東京都府中市四谷2-75,35.665294,139.445637,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立片町文化センター(複合施設）,東京都府中市片町2-17,35.670275,139.469377,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立押立文化センター(複合施設）,東京都府中市押立町5-4,35.653691,139.517813,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
府中市立武蔵台文化センター(複合施設）,東京都府中市武蔵台2-2,35.688581,139.461425,府中市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
昭島市公民館,東京都昭島市つつじが丘3-7-7,35.713459,139.366171,昭島市,東京都,東京都教育庁,施設関連情報_公民館,https://www.opendata.metro.tokyo.lg.jp/kyouiku/R3/skshubetu_1.csv,クリエイティブ・コモンズ 表示（CC BY）
