団体コード,市区町村名,子ども人口0_14歳,食堂数,ギャップスコア
131041,新宿区,31223,0,31223
131075,墨田区,28657,0,28657
132110,小平市,25580,0,25580
132047,三鷹市,24035,0,24035
131024,中央区,23625,0,23625
132021,立川市,22114,0,22114
131105,目黒区,31475,2,15738
132144,国分寺市,15724,0,15724
132225,東久留米市,13975,0,13975
132250,稲城市,13334,0,13334
131211,足立区,77773,6,12962
132209,東大和市,10829,0,10829
131016,千代田区,9256,0,9256
131032,港区,35936,4,8984
132276,羽村市,6579,0,6579
132187,福生市,5849,0,5849
132071,昭島市,13921,3,4640
131237,江戸川区,87549,21,4169
131059,文京区,29040,7,4149
133035,瑞穂町,3567,0,3567
132128,日野市,23418,7,3345
131121,世田谷区,108895,34,3203
132101,小金井市,15425,5,3085
132063,府中市,33719,11,3065
131229,葛飾区,53146,18,2953
132039,武蔵野市,17606,6,2934
132098,町田市,52142,19,2744
131067,台東区,18454,7,2636
131083,江東区,67437,27,2498
131172,北区,36981,15,2465
132284,あきる野市,9781,4,2445
133051,日の出町,2306,1,2306
132217,清瀬市,8904,4,2226
131181,荒川区,24620,12,2052
132195,狛江市,9880,5,1976
131202,練馬区,87649,55,1594
131156,杉並区,60888,41,1485
132136,東村山市,17975,13,1383
131091,品川区,48239,36,1340
132012,八王子市,63868,51,1252
132055,青梅市,13759,11,1251
131164,豊島区,26247,21,1250
132233,武蔵村山市,9650,8,1206
132080,調布市,29680,26,1142
131199,板橋区,61475,54,1138
131113,大田区,79689,73,1092
132292,西東京市,25207,27,934
132241,多摩市,16923,19,891
134015,八丈町,806,0,806
131148,中野区,30189,39,774
133612,大島町,732,0,732
132152,国立市,8671,12,723
131130,渋谷区,24419,52,470
134210,小笠原村,415,0,415
133086,奥多摩町,347,0,347
133639,新島村,271,0,271
133647,神津島村,266,0,266
133817,三宅村,231,0,231
133078,檜原村,137,0,137
133825,御蔵島村,61,0,61
133621,利島村,49,0,49
134023,青ヶ島村,20,0,20
