全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,URL,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考,_自治体名,_データセット名,_ライセンス,_取得元URL
132080,1,東京都,調布市,緑ヶ丘こどもフリースペースごりら,ミドリガオカコドモフリースペースゴリラ,,,東京都調布市緑ヶ丘2-18-49,緑ヶ丘地域福祉センター,35.669415,139.583878,,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,2,東京都,調布市,みんな食堂「仙川スープ」,ミンナショクドウセンガワスープ,,,東京都調布市仙川町1-19-10,POSTO,35.662037,139.58577,https://motion-gallery.net/projects/sengawasoup,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,3,東京都,調布市,坂の上のばあちゃん家,サカノウエノバアチャンチ,,,東京都調布市入間町3-22-5,入間町地域密着型認知症デイサービスぷちぽあん,35.64642,139.587921,http://lin.ee/mAOvjkU,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,4,東京都,調布市,つつじヶ丘こども食堂,ツツジガオカコドモショクドウ,,,東京都調布市西つつじヶ丘1-48-24,シェアアパートメント調布,35.662739,139.56781,https://kodomoto154.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,5,東京都,調布市,子ども食堂深大寺東町,コドモショクドウジンダイジヒガシマチ,,,東京都調布市深大寺東町6-26-15,あいケアデイサービス深大寺,35.67614,139.558228,,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,6,東京都,調布市,ハナこども食堂,ハナコドモショクドウ,,,東京都調布市深大寺東町7-23-2,野ヶ谷ふれあいの家,35.676304,139.55867,https://instagram.com/hanakidspark?igshid=YmMyMTA2M2Y=,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,7,東京都,調布市,絵堂なかよし子ども食堂,エドウナカヨシコドモショクドウ,,,東京都調布市深大寺南町5-9,絵堂なかよし広場,35.666481,139.557556,,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,8,東京都,調布市,しばさき彩こども食堂,シバサキアヤコドモショクドウ,,,東京都調布市柴崎1-64-9,しばさき彩ステーション,35.657196,139.565247,https://shibasaki-irodori-station.jimdofree.com,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,9,東京都,調布市,さくら子育てステーション,サクラコソダテステーション,,,東京都調布市八雲台1-22-1,八雲台クリーンハイム103 家庭的保育事業施設たんぽぽ,35.654781,139.553162,http://tanpopo-hoiku.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
132080,10,東京都,調布市,かしわの食堂（まい・夢）,カシワノショクドウマイム,,,東京都調布市佐須町2-18-1,祇園寺,35.659374,139.55545,,,,,,,,,,,,,,,,,,,,,,,,,,,,調布市,子ども食堂一覧,クリエイティブ・コモンズ 表示（CC BY）,https://www.opendata.metro.tokyo.lg.jp/chofu/132080_chofushi_kodomosyokudo.csv
