NO,都道府県コード又は市区町村コード,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
1,11,埼玉県,さいたま市,㈱ミサコランド,,,"多世代交流拠点,親子交流の場",埼玉県さいたま市大宮区浅間町1-116-8,,35.905431,139.634121,,,080-1015-2524,,,,http:/www.misakoland.co.jp,misakoland@misakoland.co.jp,,,,,,1か月に1回,土,第3土曜日,12:00,14:00,,ひとり親世帯,18才まで0,0,0,0,500,,,,,,,,,,,,
2,11,埼玉県,さいたま市,子ども食堂NEO,,,多世代交流拠点,さいたま市南区文蔵2-24-7　文蔵サロン内,,35.841605,139.667974,080-6636-2076,,,,,,http://konomachi.org,konomati@jcom.zaq.ne.jp,,,,,,1か月に1回,土,毎月第4土曜日,,,,,300,300,300,300,600,,,,,1.0,,,埼玉県子ども食堂ネットワーク、さいたま市子ども食堂ネットワーク,,,,
3,11,埼玉県,さいたま市,みんなの居場所・浦和子ども食堂,,,多世代交流拠点,さいたま市浦和区東仲町8-19,,35.8613472883332,139.656819051694,048-882-2766,,,,,,https://ibasho-taiyodo.amebaownd.com/,junyuriharuka@ezweb.ne.jp,,,,,,,,,,,,,0,0,0,0,,,,,,,,,埼玉県、さいたま市子ども食堂ネットワーク,,,,
4,11,埼玉県,さいたま市,こもれびごはん,,,多世代交流拠点,さいたま市桜区大久保領家130　大久保東公民館,,35.8702222599567,139.60799738053,048-852-7412,,,,,,,napualani66@gmail.com,,,,,,1か月に1回,土,第2土,,,,"経済的に困っている世帯,ひとり親世帯,不登校・行き渋りの子供",0,0,0,0,,,,,,,,,,,,,
5,11,埼玉県,さいたま市,たんぽぽフードパントリー深作,,,"学習支援,多世代交流拠点,遊び・スポーツ・体験活動の場,親子交流の場",さいたま市見沼区深作2の7深作自治会館、見沼区宮ヶ谷塔765春おか広場,,,,,,,,,,,,,,,,,,,,,,,"経済的に困っている世帯,ひとり親世帯,障害のある子供",0,0,0,0,,,,,,1.0,,,埼玉県フードパントリーネットワーク,,,,
6,11,埼玉県,さいたま市,わいわいランチ,,,,さいたま市西区指扇1100-2,,35.912086,139.5787998,048-624-0238,,,,,,,oomiya@mcp-saitama.or.jp,,,,,,1か月に1回,土,毎月第3土曜日,12:00,13:00,,"経済的に困っている世帯,ひとり親世帯",0,0,0,0,,,,,,,,,さいたま市子ども食堂ネットワーク,,,,
7,11,埼玉県,さいたま市,だがしカフェ夢はうす,,,,埼玉県さいたま市南区白幡4ー13ー3,,35.8425527,139.6547946,,,,,,,,emicafe@outlook.com,,,,,,1か月に2回,金,毎月第2金曜日・第４月曜日,17:00,18:30,,,0,0,0,0,,,,,,,,,埼玉県子ども食堂ネットワーク・さいたま市子ども食堂ネットワーク,,,,
8,11,埼玉県,さいたま市,みな風地域食堂,,,,さいたま市中央区本町東4-9-8,,35.8854024434529,139.620288967038,090-4600-1027,,,,,,,chizuko.minakaze.0913@gmail.com,,,,,,1か月に1回,日,第三日曜日,,,,,0,0,0,0,300～500,,,,,1.0,,,埼玉県子ども食堂ネットワーク,,,,
9,11,埼玉県,さいたま市,すくもぐカフェ,,,,埼玉県さいたま市中央区八王子2-4-10,,35.883723209633,139.611513109366,090-6937-2209,,,,,,https://lin.ee/W8QzvIX,sukumogu2022@gmail.com,,,,,,1か月に1回,土,第二土曜日,10:00,16:00,,,0,0,0,0,300,,,,,,,,埼玉県子ども食堂ネットワーク、さいたま市子ども食堂ネットワーク,,,,
10,11,埼玉県,さいたま市,さいたま子ども食堂,,,"学習支援,子供のたまり場",埼玉県さいたま市緑区原山3-20-9,,35.8729156,139.6772396,048-789-7340,,,,,,http://cheers.ai-kenchikukoubou.jp/,saitamakodomoshokudo@ai-kenchikukoubou.jp,,,,,,週に3回,月水金,,14:00,17:00,,,0,0,0,0,500（1家族）,,,,,,,,埼玉県子ども食堂ネットワーク,,,,
